sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
28691,527249,Stegastes trindadensis,Donzela-de-trindade,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental do Arquipélago de Trindade e Martim Vaz/Monumento Natural do Arquipelago de Trindade e Martim Vaz e Monte Columbia,0000.00.36330000.00.3642
34866,1810735,Steindachneridion amblyurum,Surubim-do-jequitinhonha,Peixes Continentais,Criticamente em Perigo (CR),,
34867,1515357,Steindachneridion doceanum,Surubim-do-doce,Peixes Continentais,Criticamente em Perigo (CR),,
22000,1502930,Steindachneridion melanodermatum,Surubim-do-iguaçu,Peixes Continentais,Em Perigo (EN),,
18762,400340,Steindachneridion parahybae,Surubim-do-paraíba,Peixes Continentais,Em Perigo (EN),,
31213,1440256,Steindachneridion scriptum,Surubim,Peixes Continentais,Em Perigo (EN),,
34252,1254131,Stenocercus azureus,iguaninha-azul/lagarto-das-pedras,Répteis,Em Perigo (EN),Área de Proteção Ambiental de Ibirapuitã,0000.00.0021
34253,1254142,Stenocercus dumerilii,,Répteis,Vulnerável (VU),Reserva Biológica do Gurupi/ÁREA DE PROTEÇÃO AMBIENTAL DE ALGODOAL-MAIANDEUA/ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS,0000.00.0207
28217,2022906,Sterna dougallii,Charrán Rosado/Roseate Tern/trinta-réis-róseo,Aves,Vulnerável (VU),Área de Proteção Ambiental Delta do Parnaíba/Parque Nacional Marinho de Fernando de Noronha/Reserva Extrativista Acaú-Goiana/Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Reserva Extrativista do Corumbau/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS/ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS/ÁREA DE PROTEçãO AMBIENTAL DO MANGUEZAL DA BARRA GRANDE,0000.00.00190000.00.01860000.00.15630000.00.00150000.00.0252
29704,2022907,Sterna hirundinacea,Charrán Suramericano/South American Tern/trinta-réis-de-bico-vermelho,Aves,Vulnerável (VU),Parque Nacional Marinho dos Abrolhos/Estação Ecológica de Tamoios/Parque Nacional Restinga de Jurubatiba/Área de Proteção Ambiental de Cairuçu/Área de Proteção Ambiental de Cananéia-Iguape-Peruíbe/Estação Ecológica de Carijós/Parque Nacional da Lagoa do Peixe/Área de Proteção Ambiental da Baleia Franca/Reserva Biológica Marinha do Arvoredo/Área de Proteção Ambiental de Guaraqueçaba/Parque Nacional Marinho das Ilhas dos Currais/PARQUE ESTADUAL  DE ILHABELA/PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS/PARQUE ESTADUAL RESTINGA DE BERTIOGA/APA MARINHA DO LITORAL CENTRO/APA MARINHA DO LITORAL NORTE/PARQUE ESTADUAL DA SERRA DO TABULEIRO/PARQUE ESTADUAL DA COSTA DO SOL,0000.00.01850000.00.00630000.00.01410000.00.00130000.00.00140000.00.00520000.00.01400000.00.00060000.00.02140000.00.00170000.00.2874
13421,335739,Sternarchella curvioperculata,Ituí,Peixes Continentais,Em Perigo (EN),,
15088,1657841,Sternarchogiton zuanoni,,Peixes Continentais,Vulnerável (VU),,
13422,803144,Sternarchorhynchus britskii,Ituí,Peixes Continentais,Em Perigo (EN),Parque Nacional de Ilha Grande,0000.00.0161
15100,1809182,Sternarchorhynchus caboclo,,Peixes Continentais,Vulnerável (VU),,
15101,1790893,Sternarchorhynchus higuchii,,Peixes Continentais,Criticamente em Perigo (CR),ÁREA DE PROTEÇÃO AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA,
15102,1808954,Sternarchorhynchus inpai,,Peixes Continentais,Vulnerável (VU),Reserva Biológica do Rio Trombetas,0000.00.0210
